C,W1,W2,W3,W4,W11,W12,W13,W14,W22,W23,W24,W33,W34,W44,Q1,Q2,Q3,Q4,Q5,Q11,Q12,Q13,Q14,Q15,Q22,Q23,Q24,Q25,Q33,Q34,Q35,Q44,Q45,Q55,W1Q1,W1Q2,W1Q3,W1Q4,W1Q5,W2Q1,W2Q2,W2Q3,W2Q4,W2Q5,W3Q1,W3Q2,W3Q3,W3Q4,W3Q5,W4Q1,W4Q2,W4Q3,W4Q4,W4Q5,T,T2,TW1,TW2,TW3,TW4,TQ1,TQ2,TQ3,TQ4,TQ5,BANK 
14.058861,8.8093955,3.9395974,1.595513,1.0408789,38.802725,34.705471,14.055505,9.1695139,7.7602137,6.2856788,4.1006438,1.2728309,1.6607358,0.5417144,8.6680241,11.743545,11.074157,8.3779311,8.0526148,37.567321,101.79333,95.991059,72.620109,69.800259,68.955425,130.04986,98.386611,94.566245,61.318476,92.778524,89.17592,35.094865,67.464252,32.422303,76.360052,103.45353,97.556628,73.804509,70.938669,34.148525,46.264839,43.627719,33.005675,31.72406,13.829945,18.736979,17.668961,13.367098,12.848052,9.0223634,12.223608,11.526856,8.7204118,8.3817969,1,0.5,8.8093955,3.9395974,1.595513,1.0408789,8.6680241,11.743545,11.074157,8.3779311,8.0526148,3
12.173752,6.2941029,1.4455975,-0.0977213,-0.5066559,19.807866,9.0987394,-0.6150678,-3.1889447,1.0448761,-0.1412656,-0.7324206,0.0047747,0.0495111,0.1283501,9.3650338,11.096592,10.724236,0,7.6815604,43.851929,103.91995,100.43283,0,71.938072,61.567172,119.00247,0,85.239137,57.50462,0,82.378867,0,0,29.503185,58.944486,69.843089,67.499446,0,48.348531,13.538069,16.041205,15.502929,0,11.104444,-0.9151632,-1.0843732,-1.0479862,0,-0.750652,-4.7448501,-5.6221541,-5.433498,0,-3.8919083,2,2,12.588206,2.891195,-0.1954426,-1.0133119,18.730068,22.193183,21.448472,0,15.363121,3
10.867486,6.5834137,1.5940039,-0.5206163,-0.5224668,21.670668,10.493987,-3.4274321,-3.4396153,1.2704242,-0.8298643,-0.8328142,0.1355206,0.2720047,0.1364858,8.4495565,9.4093552,9.0555562,5.0106353,6.3438804,35.697503,79.504878,76.515434,42.337646,53.602976,44.267982,85.206944,47.146847,59.691824,41.001549,45.374089,57.447366,12.553233,31.786871,20.122409,55.626926,61.945678,59.616473,32.987085,41.764389,13.468626,14.998549,14.434592,7.9869722,10.11217,-4.3989764,-4.8986632,-4.7144697,-2.6086181,-3.3027272,-4.4146131,-4.916076,-4.7312278,-2.6178908,-3.3144671,3,4.5,19.750241,4.7820117,-1.5618487,-1.5674005,25.34867,28.228065,27.166668,15.031906,19.031641,3
11.061681,6.5770924,1.7059413,-0.4215789,-0.6155848,21.629072,11.220133,-2.7727631,-4.0487578,1.4551178,-0.7191888,-1.0501514,0.0888644,0.2595175,0.1894723,7.7668405,9.1153701,10.365396,7.824046,7.4558767,30.161906,70.797626,80.506378,60.768118,57.908605,41.544986,94.484421,71.319075,67.963076,53.720717,81.099335,77.283114,30.607848,58.335122,27.795049,51.083228,59.952632,68.174167,51.459474,49.03799,13.249774,15.550286,17.682757,13.347363,12.719288,-3.2743358,-3.8428474,-4.3698318,-3.2984524,-3.14324,-4.7811487,-5.6112829,-6.3807798,-4.8163635,-4.589724,4,8,26.30837,6.823765,-1.6863154,-2.462339,31.067362,36.461481,41.461584,31.296184,29.823507,3
12.382544,7.1659986,1.5256871,0.1645052,-0.4165044,25.675768,10.933072,1.178844,-2.9846702,1.1638605,0.2509835,-0.6354554,0.013531,-0.0685171,0.086738,8.1766728,10.948048,8.2220164,8.9247894,7.5245612,33.428989,89.518609,67.228738,72.975082,61.525875,59.929881,90.015034,97.709026,82.37926,33.800777,73.379765,61.867066,39.825933,67.155124,28.309511,58.594026,78.453699,58.918958,63.955028,53.920995,12.475044,16.703296,12.544224,13.616436,11.480126,1.3451052,1.8010109,1.3525645,1.4681743,1.2378295,-3.4056205,-4.5599108,-3.4245064,-3.7172144,-3.1340132,5,12.5,35.829993,7.6284355,0.822526,-1.6660178,40.883364,54.74024,41.110082,44.623947,37.622806,3
10.774727,6.3244277,1.8959882,-0.4108809,-0.4805264,19.999193,11.99104,-2.5985864,-3.0390547,1.7973855,-0.7790253,-0.9110724,0.0844115,0.1974391,0.1154528,7.4205789,9.8701893,8.2295111,7.972466,6.5250297,27.532496,73.242518,61.067737,59.160313,48.419497,48.710318,81.226832,78.689749,64.403278,33.862427,65.609498,53.697804,31.780107,52.020577,21.288006,46.930915,62.423299,52.046948,50.421285,41.267079,14.06933,18.713762,15.603056,15.115701,12.371379,-3.048974,-4.055472,-3.3813487,-3.2757338,-2.6810099,-3.5657844,-4.7428869,-3.9544977,-3.8309807,-3.1354493,1,0.5,6.3244277,1.8959882,-0.4108809,-0.4805264,7.4205789,9.8701893,8.2295111,7.972466,6.5250297,4
9.1239402,6.624187,2.1844813,-0.6012945,-0.7262521,21.939927,14.470412,-3.9830871,-4.8108297,2.3859792,-1.3135165,-1.5864841,0.1807775,0.4366914,0.2637211,6.8200164,7.5953873,7.8091354,6.5792512,4.9836066,23.256312,51.800666,53.258431,44.870601,33.988279,28.844954,59.313408,49.971961,37.852422,30.491298,51.378264,38.917659,21.643273,32.7884,12.418167,45.177064,50.313266,51.729173,43.58219,33.012342,14.898198,16.591981,17.05891,14.372251,10.886595,-4.1008382,-4.5670645,-4.6955901,-3.9560675,-2.9966152,-4.9530512,-5.516166,-5.671401,-4.778195,-3.6193548,2,2,13.248374,4.3689625,-1.202589,-1.4525042,13.640033,15.190775,15.618271,13.158502,9.9672132,4
11.05841,6.5683048,1.1859865,-0.4129123,-0.2031852,21.571314,7.789921,-2.7121341,-1.3345821,0.703282,-0.4897085,-0.2409749,0.0852483,0.0838977,0.0206421,9.3322925,9.3595359,9.7943979,7.9298464,6.6871086,43.545841,87.345927,91.404186,74.003646,62.406053,43.800456,91.671019,74.219683,62.588233,47.965115,77.668071,65.496202,31.441232,53.027744,22.358711,61.297342,61.476285,64.332591,52.085649,43.922968,11.067973,11.100284,11.616024,9.404691,7.9308207,-3.8534187,-3.8646679,-4.0442278,-3.2743315,-2.7611897,-1.8961833,-1.9017188,-1.9900763,-1.6112271,-1.3587212,3,4.5,19.704914,3.5579596,-1.238737,-0.6095555,27.996877,28.078608,29.383194,23.789539,20.061326,4
12.13635,6.6098006,1.225972,0.038359,-0.7334661,21.844732,8.1034302,0.2535456,-4.8480647,0.7515036,0.0470271,-0.8992089,0.0007357,-0.0281351,0.2689863,9.6910366,11.131196,10.103076,8.0925453,7.4448333,46.958095,107.87283,97.909278,78.425153,72.148152,61.951767,112.45932,90.079711,82.869901,51.036071,81.759599,75.215715,32.744644,60.24765,27.712771,64.055819,73.574988,66.779316,53.49011,49.208863,11.880939,13.646535,12.386088,9.9212337,9.1271569,0.3717388,0.4269819,0.3875442,0.3104222,0.2855766,-7.108047,-8.1643554,-7.4102638,-5.9356078,-5.460533,4,8,26.439202,4.9038879,0.1534361,-2.9338645,38.764147,44.524786,40.412303,32.370181,29.779333,4
11.267155,6.9359202,3.8590848,-0.4806359,-1.6716833,24.053495,26.766304,-3.3336522,-11.594662,7.4462677,-1.8548146,-6.4511678,0.1155054,0.803471,1.3972626,4.8598124,10.435115,8.9934274,6.3099183,6.3767269,11.808888,50.712703,43.70637,30.665019,30.989697,54.445816,93.847452,65.844725,66.541881,40.440868,56.747792,57.348631,19.907534,40.236626,20.331323,33.707271,72.377127,62.377695,43.76509,44.228469,18.754428,40.269995,34.706399,24.35051,24.60833,-2.3358002,-5.0154909,-4.3225639,-3.0327732,-3.0648838,-8.1240674,-17.444208,-15.034163,-10.548185,-10.659868,5,12.5,34.679601,19.295424,-2.4031795,-6.6867334,24.299062,52.175575,44.967137,31.5495915,31.8836345,4
11.15242,6.5697877,1.6311364,-0.612425,-0.7935922,21.581055,10.71622,-4.0235021,-5.2137319,1.330303,-0.9989487,-1.294457,0.1875322,0.4860157,0.3148942,8.1516216,9.0353916,10.5508,8.2927989,7.6834037,33.224468,73.653094,86.006131,67.599759,62.6322,40.81915,95.330611,74.928685,69.422561,55.659692,87.495664,81.066057,34.385256,63.716921,29.517346,53.554423,59.360604,69.316517,54.481928,50.478331,13.296407,14.737956,17.209794,13.526686,12.532679,-4.9922567,-5.5334995,-6.4615736,-5.0787172,-4.7055083,-6.4690629,-7.1704158,-8.3730322,-6.5811001,-6.0974888,1,0.5,6.5697877,1.6311364,-0.612425,-0.7935922,8.1516216,9.0353916,10.5508,8.2927989,7.6834037,5
13.027016,6.7199615,1.8134632,-0.2172542,-0.6927174,22.578942,12.186403,-1.4599399,-4.6550341,1.6443244,-0.3939825,-1.2562175,0.0235997,0.1504958,0.2399287,6.787845,12.533753,6.787845,9.4189792,8.5581432,23.03742,85.077171,46.07484,63.934571,58.091349,78.547479,85.077171,118.05516,107.26565,23.03742,63.934571,58.091349,44.358585,80.608973,36.620907,45.614057,84.226337,45.614057,63.295178,57.510393,12.309507,22.7295,12.309507,17.080972,15.519878,-1.4746878,-2.7230104,-1.4746878,-2.0463128,-1.8592926,-4.7020581,-8.6823482,-4.7020581,-6.5246905,-5.9283744,2,2,13.439923,3.6269264,-0.4345084,-1.3854347,13.57569,25.067506,13.57569,18.837958,17.116286,5
12.47699,6.4859889,1.6521778,-0.3610084,-0.5355581,21.034026,10.716007,-2.3414965,-3.4736236,1.3648457,-0.5964501,-0.8848371,0.0651635,0.193341,0.1434112,10.27839,11.287254,10.837186,6.9077553,7.7497534,52.822654,116.0148,111.38883,71.000605,79.654991,63.701048,122.32207,77.969586,87.473433,58.722299,74.860628,83.985518,23.858541,53.5334,30.029339,66.665526,73.209003,70.289868,44.803624,50.264815,16.981728,18.64855,17.904958,11.41284,12.803971,-3.7105853,-4.0747935,-3.9123152,-2.4937577,-2.7977261,-5.5046748,-6.0449797,-5.8039422,-3.699504,-4.1504429,3,4.5,19.457967,4.9565334,-1.0830252,-1.6066742,30.835171,33.861761,32.511558,20.723266,23.24926,5
11.480402,6.9544284,1.2454272,-0.0636946,-1.3458198,24.182037,8.6612342,-0.4429598,-9.3594076,0.7755444,-0.079327,-1.6761206,0.0020285,0.0857215,0.9056155,8.4151605,10.517104,9.4598532,7.5005295,7.7676873,35.407463,88.503121,79.606182,63.118159,65.366335,55.304742,99.490263,78.883852,81.693578,44.744411,70.953908,73.481181,28.128971,58.261767,30.168483,58.522631,73.14045,65.787872,52.161896,54.019825,10.48047,13.098288,11.781558,9.3413633,9.6740888,-0.5360006,-0.6698832,-0.602542,-0.4777436,-0.4947601,-11.32529,-14.154127,-12.731258,-10.094361,-10.453907,4,8,27.817714,4.9817087,-0.2547786,-5.3832792,33.660642,42.068418,37.839413,30.002118,31.070749,5
11.344741,7.0320153,3.4690732,-0.206728,-0.9735563,24.724619,24.394576,-1.4537142,-6.8460627,6.0172346,-0.7171545,-3.3773381,0.0213682,0.2012613,0.4739059,6.2166061,10.274534,10.708713,9.1590471,7.9197198,19.323096,63.872729,66.571848,56.938188,49.233778,52.783022,110.02703,94.104938,81.371428,57.338263,98.081603,84.810003,41.944072,72.537086,31.360981,43.715269,72.250678,75.303831,64.406559,55.69159,21.565862,35.64311,37.149308,31.773405,27.474088,-1.2851463,-2.1240334,-2.2137904,-1.8934312,-1.6372275,-6.052216,-10.002837,-10.425535,-8.9168479,-7.710293,5,12.5,35.1600765,17.345366,-1.0336398,-3.8942252,31.0830305,51.37267,53.543565,45.7952355,39.598599,5
9.3248038,6.8406516,2.1764581,-0.1027583,-0.9317522,23.397257,14.888392,-0.7029334,-6.3737921,2.3684849,-0.223649,-2.0279196,0.0052796,0.0957452,0.4340811,6.4441313,7.2786289,7.8504932,6.99485,5.164786,20.763414,46.90444,50.589608,45.075731,33.282559,26.48922,57.140827,50.912918,37.592561,30.815122,54.913022,40.546117,24.463963,36.126903,13.337507,44.082057,49.790565,53.702489,47.849332,35.330501,14.025382,15.841631,17.086269,15.223998,11.24094,-0.6621877,-0.7479392,-0.806703,-0.7187786,-0.5307244,-6.0043334,-6.7818784,-7.3147142,-6.5174668,-4.8123006,1,0.5,6.8406516,2.1764581,-0.1027583,-0.9317522,6.4441313,7.2786289,7.8504932,6.99485,5.164786,6
12.142501,6.4798889,2.2677774,-0.2226096,-0.8523593,20.99448,14.694946,-1.4424857,-5.5231934,2.5714072,-0.5048291,-1.9329611,0.0247775,0.1897434,0.3632582,9.3038307,10.28189,11.088644,8.8443363,8.7473521,43.280633,95.660962,103.16687,82.286208,81.383883,52.858628,114.01222,90.936491,89.93931,61.479018,98.071701,96.996277,39.111143,77.364524,38.258084,60.287789,66.625503,71.853184,57.310317,56.681869,21.099017,23.317037,25.146577,20.056986,19.837047,-2.0711224,-2.2888478,-2.4684391,-1.9688345,-1.9472449,-7.9302064,-8.7638641,-9.451509,-7.5385521,-7.4558867,2,2,12.959778,4.5355548,-0.4452193,-1.7047186,18.607661,20.563779,22.177289,17.688673,17.494704,6
10.174579,6.7751079,1.3865382,0.2856311,-0.8471239,22.951044,9.3939459,1.9351812,-5.7393556,0.9612441,0.3960384,-1.1745696,0.0407925,-0.2419649,0.3588094,6.5250297,8.1972634,9.2655858,6.3969297,6.0707377,21.288006,53.487387,60.458222,41.740156,39.611744,33.597563,75.952447,52.437317,49.763436,42.925541,59.271301,56.248942,20.460355,38.834082,18.426928,44.20778,55.537344,62.775344,43.339889,41.129903,9.0472028,11.365819,12.847089,8.8695873,8.4173097,1.8637511,2.3413929,2.646539,1.8271617,1.7339912,-5.5275083,-6.9440974,-7.8490989,-5.4189917,-5.1426668,3,4.5,20.325324,4.1596146,0.8568931,-2.5413716,19.575089,24.59179,27.796758,19.190789,18.212213,6
10.654001,6.6263148,2.1365424,-0.7160321,-0.4154545,21.954024,14.157403,-4.7446541,-2.7529322,2.2824067,-1.529833,-0.8876361,0.256351,0.2974788,0.0863012,8.8456333,9.0146904,9.2885969,6.7799219,6.0844994,39.122614,79.740645,82.163521,59.972703,53.82125,40.632321,83.733825,61.118897,54.849878,43.139016,62.975961,56.516462,22.983671,41.252431,18.510567,58.613951,59.734176,61.549167,44.925897,40.317809,18.899071,19.260268,19.845481,14.485591,12.999791,-6.3337574,-6.4548077,-6.6509336,-4.8546418,-4.3566969,-3.6749581,-3.7451936,-3.8589893,-2.816749,-2.5278326,4,8,26.505259,8.5461697,-2.8641284,-1.661818,35.382533,36.058762,37.154387,27.119688,24.337998,6
12.289914,6.5273968,0.9467707,-1.4507213,-0.407026,21.303455,6.1799481,-9.4694338,-2.65682,0.4481874,-1.3735005,-0.3853603,1.0522962,0.5904813,0.0828351,10.170074,11.080665,10.703042,9.1420615,7.8834464,51.715199,112.69117,108.85073,92.975439,80.17523,61.390563,118.59682,101.30012,87.353824,57.277556,97.84787,84.376859,41.788645,72.070952,31.074363,66.384106,72.327894,69.863004,59.673863,51.458383,9.6287278,10.490849,10.133327,8.655436,7.4638161,-14.753943,-16.074956,-15.527132,-13.262584,-11.436684,-4.1394841,-4.5101182,-4.3564161,-3.7210564,-3.2087674,5,12.5,32.636984,4.7338536,-7.2536065,-1.6281039,50.85037,55.403325,53.51521,45.7103075,39.417232,6
13.828622,9.4733125,4.8431444,2.6656475,2.0973375,44.871825,45.88062,25.252511,19.868734,11.728024,12.910116,10.157709,3.5528382,5.5907625,2.1994124,8.5796045,10.656129,10.488325,9.1421686,7.2786289,36.804806,91.425374,89.985684,78.43619,62.447757,56.776546,111.76495,97.420131,77.562011,55.002485,95.886039,76.340629,41.789623,66.542453,26.48922,81.277274,100.94884,99.359185,86.60662,68.952727,41.552263,51.609173,50.796475,44.276843,35.251451,22.870201,28.405484,27.958178,24.369799,19.402259,17.994326,22.3495,21.997559,19.174213,15.265742,1,0.5,9.4733125,4.8431444,2.6656475,2.0973375,8.5796045,10.656129,10.488325,9.1421686,7.2786289,7
13.212867,6.5574557,1.1770875,-0.2329947,-1.123126,21.500112,7.7186991,-1.5278527,-7.3648491,0.6927675,-0.2742552,-1.3220176,0.0271433,0.2616825,0.630706,10.611843,12.494959,11.442149,7.3098815,8.695674,56.305611,132.59455,121.42229,77.571318,92.277132,78.062,142.96918,91.336669,108.65209,65.461385,83.640752,99.497197,26.717184,63.564347,37.807374,69.586693,81.93514,75.031384,47.934224,57.021497,12.491068,14.70766,13.46841,8.6043702,10.235569,-2.4725038,-2.9112598,-2.6659605,-1.703164,-2.0260463,-11.918438,-14.033414,-12.850975,-8.2099182,-9.7663379,2,2,13.114911,2.354175,-0.4659895,-2.2462521,21.223687,24.989918,22.884298,14.619763,17.391348,7
10.990916,6.4313678,1.6739546,-0.1787259,-0.6682417,20.681246,10.765818,-1.1494523,-4.2977078,1.401062,-0.2991791,-1.1186062,0.0159715,0.1194321,0.2232735,7.8617271,10.131738,9.6994724,7.0900768,6.6758232,30.903376,79.652959,76.254605,55.740249,52.4835,51.326058,98.272513,71.834801,67.637692,47.039882,68.770004,64.751963,25.134595,47.3321,22.283308,50.561658,65.160933,62.380874,45.598892,42.934674,13.160174,16.960069,16.236476,11.868467,11.175025,-1.4050946,-1.8108044,-1.7335474,-1.2671807,-1.1931428,-5.2535335,-6.7704493,-6.4815914,-4.7378846,-4.4610631,3,4.5,19.294103,5.0218637,-0.5361778,-2.0047249,23.585181,30.395214,29.098417,21.270231,20.02747,7
10.807128,6.5041809,1.5989364,-0.2669048,-0.8452032,21.152185,10.399772,-1.7359973,-5.4973544,1.2782989,-0.4267639,-1.3514262,0.0356191,0.2255888,0.3571842,7.5559051,8.9571241,8.7475109,6.6200732,6.4118183,28.545851,67.67918,66.095363,50.020645,48.44709,40.115036,78.352541,59.296818,57.431452,38.259474,57.909163,56.08745,21.912685,42.446706,20.555707,49.144974,58.258756,56.895394,43.058154,41.703626,12.081412,14.321872,13.986714,10.585076,10.25209,-2.0167076,-2.3906997,-2.3347529,-1.7669295,-1.7113453,-6.386275,-7.5705898,-7.3934241,-5.5953069,-5.4192892,4,8,26.016724,6.3957457,-1.0676193,-3.3808127,30.22362,35.828497,34.990044,26.480293,25.647273,7
11.721065,6.3825293,1.5420454,-0.3474134,-0.8562616,20.36834,9.84215,-2.2173763,-5.4651145,1.188952,-0.5357273,-1.3203942,0.060348,0.2974768,0.3665919,9.496346,10.657189,10.375707,8.7972462,6.926577,45.090294,101.20435,98.531309,83.541694,65.777172,56.787836,110.57587,93.753914,73.817839,53.827653,91.277654,71.868137,38.695771,60.934804,23.988735,60.610707,68.019819,66.223257,56.148682,44.209081,14.643797,16.433869,15.999812,13.565753,10.681096,-3.2991581,-3.7024504,-3.60466,-3.0562814,-2.4063858,-8.131356,-9.125341,-8.8843194,-7.5327437,-5.9309616,5,12.5,31.9126465,7.710227,-1.7370671,-3.4250462,47.48173,53.285945,51.878535,43.986231,34.632885,7
14.165286,8.7503826,3.2773141,1.6954111,0.9531017,38.284598,28.677752,14.835496,8.3400047,5.3703939,5.5563947,3.1236137,1.4372094,1.6158992,0.4542015,9.416948,11.25793,10.69752,9.9507051,8.3478273,44.339454,106.01534,100.73799,93.705272,78.611056,63.370494,120.43193,112.02434,93.979256,57.21847,106.44787,89.301052,49.508266,83.066768,34.843111,82.401897,98.511194,93.607395,87.072476,73.046683,30.862296,36.895773,35.059134,32.611586,27.358452,15.965598,19.086819,18.136694,16.870536,14.152999,8.9753093,10.729952,10.195825,9.4840341,7.9563286,1,0.5,8.7503826,3.2773141,1.6954111,0.9531017,9.416948,11.25793,10.69752,9.9507051,8.3478273,8
